house;talo;;basic, surrounding
apartment;asunto;;basic, surrounding
hotel;hotelli;;basic, surrounding
museum;museo;;basic, surrounding
beach;ranta;;basic, surrounding
forest;mets채;;basic, surrounding
mountain;vuori;;basic, surrounding
park;puisto;;basic, surrounding
river;joki;;basic, surrounding
sea;meri;;basic, surrounding
lake;j채rvi;;basic, surrounding
weather;s채채;;basic, surrounding
sun ;aurinko ;;basic, surrounding
rain;sade;;basic, surrounding
snow;lumi;;basic, surrounding
thunderstorm;ukkonen;;basic, surrounding
